folder;lower_outlier_threshold
alp-sellamatt;813789.75
altenrhein;1261358.0
chaeserrugg;600114.0
elbenalp;818066.0
elgg;463823.0
frauenfeld;1542087.25
gamsalp;301102.0
glarnerland;531883.0
golfclub-erlen;781621.0
gondelbahn;456529.25
iltios;266388.5
kronberg;25524.5
leist;984586.5
linth-air;1207262.0
lustdorf;960734.0
maiengarten;736197.0
napoleonturm;454584.5
oberdorf;1289119.75
prodkamm;249363.0
rapperswil;882417.0
romanshorn;932205.5
rorschacherberg;1277847.0
roter-turm;738566.0
saentis-gipfel;887202.75
santis-schwaegalp;1476782.5
scheitlinsbuchel;10000.0
schoenenbuehl;500519.25
sitterdorf;157220.0
storchen-hotel;457506.0
uetliberg;10000.0
wiler-turm;50127.25
wolzenalp;402163.5
zinggen;660880.25
zuerich-west;757863.5
zuericher-oberland;1402797.0
