short;name;url;lat;lon;altitude_m;apx_distance_km;img_start;10min_from;img_note;cam_overage;img_center;apx_dir_to_stg;apx_dir_fr_stg;comments;id;scrape
romanshorn;Hafen Romanshorn;https://romanshorn.roundshot.com/;47.56687;9.38013;405;16.44;09.12.2022;07.07.2024;;360;;-172.90429458541365;7.075907676505007;;62863f9fcbb216.97456372;True
rorschacherberg;Rorschacherberg;https://computechnic.roundshot.com/;47.474469;9.508275;570;13.14;01.05.2017;26.11.2023;;360;;-117.13653933849892;62.74927855913113;;53a838bc15a356.87772279;True
altenrhein;Flughafen St. Gallen - Altenrhein;https://lszr.roundshot.com/;47.484427;9.551886;397;16.58;18.02.2023;10.07.2024;slightly delayed;360;;-115.33122634071542;64.52245347044862;;5c8b6fec9dad68.39944594;True
schoenenbuehl;Geflügelhof Schönenbühl;https://gefluegelhof.roundshot.com/schoenenbuehl/;47.44008;9.56102;781;15.82;09.04.2023;12.07.2024;;-90 to 157.5;39.375 (NE);-97.85216653887862;81.9948384933066;;6082bd822fedd8.14660948;False
heiden;Livecam Heiden;https://heiden.roundshot.com/;47.43485;9.53592;860;13.87;01.06.2013;;hourly images + spotty history;-157.5 to 135;-11.25 (NNW);-96.56116519103288;83.30433051446641;;53a98066017d32.91292386;False
elbenalp;Elbenalp;https://ebenalp.roundshot.com/;47.283004;9.410756;1640;15.88;16.02.2023;14.07.2024;;360;;-15.844977021925365;164.11274399913623;;5a7c518a176f53.54105137;True
gartenalp;Gartenalp;https://gartenalp.roundshot.com/;47.282169347;9.403421334;1551;15.83;;;winter only;0 to 180;90 (E);-13.826583378355664;166.13653273566402;;5de0d112a90279.81323382;False
kronberg;Kronberg - Jakobsbad;https://kronberg.roundshot.com/gipfel/;47.29149;9.32944;1663;14.44;05.11.2021;11.07.2024;;360;;7.149942314888154;-172.83252535011613;;608fc16698a1e7.09133428;True
santis-schwaegalp;Säntis Schwägalp;https://saentis.roundshot.com/schwaegalp/;47.2539;9.31997;1420;18.68;29.08.2020;21.12.2023;;360;;7.728946949480536;-172.2465621916946;;5f3290396f3838.18976710;False
saentis-gipfel;Säntis Gipfel;https://saentis.roundshot.com/;47.249219;9.343195;2505;19.05;10.07.2017;24.03.2023;;360;;2.2879878205151423;-177.7046002242654;snowy;53ce6b5b69eda2.07649423;False
gondelbahn;Gondelbahn Bergrestaurant;https://berghausgampluet.roundshot.com/;47.212973;9.343041;1353;23.07;25.11.2017;03.10.2023;;360;;1.9174337185816035;-178.07504327595657;;594153c81c4d72.44698687;False
wolzenalp;Wolzenalp;https://wolzenalp.roundshot.com/;47.228785;9.153405;1120;26.12;17.07.2018;15.10.2023;;360;;35.26555692410986;-144.58749734782333;;5b4c75b73c33a6.42083074;False
linth-air;Biberlichhopf - Linth Air Service;https://linthairservice.roundshot.com/;47.13246;9.06833;580;38.59;23.03.2023;21.09.2023;;-45 to 45;180 (S);33.8508542442886;-145.9398142331966;;5f4ca7a4b0ac91.21476384;False
glarnerland;ESAF 2025 Glarnerland - Mollis;https://esaf2025.roundshot.com/;47.08295;9.0675;460;43.31;14.05.2024;14.05.2024;;360;;29.8603053565082;-149.92983691153586;;661e45d3576f73.21237686;False
leist;Leist;https://flumserberg.roundshot.com/leist/;47.06504;9.23286;2222;40.55;08.10.2022;05.06.2024;;360;;12.94826413248912;-166.9633224807411;snowy;630c6b54bb8b42.13433260;False
prodkamm;Prodkamm;https://flumserberg.roundshot.com/prodkamm/;47.07397;9.26812;1950;39.05;07.10.2023;12.06.2024;;360;;9.46961652701813;-170.4678549108182;;63c55e5f9ccd73.52998480;False
chaeserrugg;Chaeserrugg;https://chaeserrugg.roundshot.com/;47.154974;9.313089;2262;29.67;16.05.2014;22.04.2023;;360;;5.865872905536655;-174.10459972932554;snowy;53aac874be36f1.86083713;False
oberdorf;Oberdorf;https://wildhaus.roundshot.com/oberdorf/;47.192147;9.345185;1200;25.38;03.11.2017; 25.01.2024;;360;;1.377713217485427;-178.61634085530213;foggy;593ed5cbe5c930.24637295;False
gamsalp;Gamsalp;https://wildhaus.roundshot.com/gamsalp/;47.17366;9.338264;1400;27.46;03.11.2017;30.06.2023;;360;;2.3639885206728404;-177.6249803208058;;5953c9a6dfb078.82403998;False
iltios;Iltios;https://iltios.roundshot.com/;47.185275;9.311898;1355;26.33;13.04.2017;11.07.2023;;360;;6.8095348237576;-173.1600552957852;;58ee238ec0fbd8.86947325;False
alp-sellamatt;Hotel Restaurant Alp Sellamatt;https://alpsellamatt.roundshot.com/;47.182558;9.296916;1386;26.78;05.11.2017;11.10.2023;;360;;9.134241545093593;-170.8243384566561;;59412dabdc2347.53111703;False
zinggen;Alp Sellamatt - Zinggen;https://alpsellamatt.roundshot.com/zinggen/;47.17716;9.298144;1440;27.36;11.11.2017;07.01.2024;;360;;8.743275227958003;-171.21620902997324;;59414d28dcec26.26414798;False
rapperswil;Knies Kinderzoo Rapperswil;https://knieskinderzoo.roundshot.com/;47.2240661;8.8219324;408;45.71;12.09.2020;30.12.2023;;157.5 to 22.5;-90 (W);61.27896593965405;-118.33040096778996;;5f16937e2cbc43.17789381;False
zuericher-oberland;Züricher Oberland;https://gzo.roundshot.com/;47.321296;8.802688;580;43.02;21.02.2019;19.02.2024;;-67.5 to -112.5;90 (E);74.95091820843359;-104.64398438381704;;53a979853ab391.41220151;False
zuerich-west;Zurich West - Zurich Tourism;https://zuerichtourismus.roundshot.com/zuerichwest/;47.382297;8.540239;480;61.51;21.02.2019;19.02.2024;;135 to 0;-123.75 (SW/WSW);85.74734635979927;-93.65416253030662;;53aad6578ec082.95526880;False
storchen-hotel;Storchen Hotel;https://zuerichtourismus.roundshot.com/storchen/;47.37112;8.54182;420;61.5;27.02.2021;12.04.2024;;-22.5 to 180;56.25 (ENE/NE);84.58578072875194;-94.81694553502167;;601ab50036de74.47853441;False
uetliberg;Hotel und Restaurant Uto Kulm;https://uetliberg.roundshot.com/;47.35148;8.49024;873;65.61;10.06.2018;10.06.2024;;-22.5 to -157.5;90 (E);82.971701770293;-96.39315832092564;;53aacd05e65407.10715840;False
elgg;Gemeinde Elgg;https://schauenberg.roundshot.com/;47.460091;8.866525;893;36.97;25.05.2018;31.08.2023;;360;;96.66625431754812;-82.97521809040359;;592c1144bea562.72014108;False
maiengarten;Maiengarten;https://maiengarten.roundshot.com/;47.523413;8.838408;520;40.46;22.06.2013;08.08.2023;;360;;106.24362120806188;-73.37694830195632;;53aa94ace7c186.24562765;False
winterthur;Winterthur - Altstadt;https://winterthur.roundshot.com/altstadt/;47.499883;8.732039;444;47.66;03.09.2014;13.03.2023;ends on 21.06.2024;360;;100.44847361864596;-79.09379304752478;offline;53aad57c366e91.47175005;False
roter-turm;Winterthur - Roter Turm;https://winterthur.roundshot.com/roterturm/;47.503766;8.727158;481;48.1;28.03.2022;18.06.2024;;112.5 to 11.25;-112.5 (WSW);100.87109977735716;-78.66755612674127;;5ab0d9701bb178.05395983;False
frauenfeld;Stadt Frauenfeld - Rathaus;https://frauenfeld.roundshot.com/;47.555346;8.897643;400;37.46;01.12.2017;18.11.2023;;360;;113.42740134942352;-66.23673563995743;;5a1d1dbc399048.56566075;False
lustdorf;Livecam Lustdorf;https://lustdorf.roundshot.com/;47.550303;8.987445;593;31.12;03.07.2016;03.09.2023;;360;;117.5040794437042;-62.22626503763444;;531f17c98aeba5.30442284;False
wiler-turm;Sicht vom Wiler Turm;https://wilerturm.roundshot.com/;47.47868;9.049526;712;23.8;30.12.2022;06.07.2024;;360;;105.6699981548762;-74.10623519872698;;545b7dcf9cedf1.10734711;True
napoleonturm;Napoleonturm;https://napoleonturm.roundshot.com/;47.63834;9.08776;622;31.41;29.05.2021;24.11.2023;;360;;140.3687795494352;-39.43536989258639;;6086f0ffa45785.24190660;False
golfclub-erlen;Golfclub Erlen;https://erlengolf.roundshot.com/;47.54482;9.23966;494;16.26;13.06.2024;13.06.2024;;360;;148.19002268435452;-31.72623490531583;;661fcd91e010d0.44975711;True
sitterdorf;Erlebnisflugplatz Sitterdorf;https://erlebnisflugplatz.roundshot.com/;47.509623;9.26164;506;12.08;13.06.2024;12.08.2024;;360;;145.0967331318049;-34.83574437145462;;5b7400650d4ea9.28802462;True
scheitlinsbuchel;Restaurant Scheitlinsbüchel;https://webcam.ostschweiz.ch/~webcam007/image-now.jpg;47.42438274718046;9.396185282707018;790;3.26;;;1920x1080;-18.19 to -76.68;-47.435 (NW); -47.435; 132.565;;;False
